id;relation;name;image;relationID
1718074;Son;Nana Akufo-Addo;/web/show-profile-photo-icon.jpg?id=1344004;1344004
1344153;Colleague;Babatunde Fashola;/web/show-profile-photo-icon.jpg?id=1344116;1344116
1344375;Colleague;Babatunde Fashola;/web/show-profile-photo-icon.jpg?id=1344116;1344116
1344169;Son;Ian Khama;/web/show-profile-photo-icon.jpg?id=1344171;1344171
722642;Wife;Eva Braun;/web/show-profile-photo-icon.jpg?id=1344628;1344628
1461062;Father;Fujiwara no Michinaga;/web/show-profile-photo-icon.jpg?id=1344663;1344663
1345332;Brother;Gregor Strasser;/web/show-profile-photo-icon.jpg?id=1345331;1345331
1345499;Father;Grantley Herbert Adams;/web/show-profile-photo-icon.jpg?id=1345496;1345496
1345654;Son;Percival Austin Bramble;/web/show-profile-photo-icon.jpg?id=1345652;1345652
1345652;Father;William Henry Bramble;/web/show-profile-photo-icon.jpg?id=1345654;1345654
